time,Volume,Vol Snow,Vol Blue Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Local Runoff,Snowfall,Lake Level,Surface Area,Blue Ice Thickness,Snow Thickness,Snow Density,White Ice Thickness,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,Surface Wave Height,Surface Wave Length,Surface Wave Period,LakeNumber,Max dT/dz,CD,CHE,z/L
2008-01-01 24:00:00,62317837.600038,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   46.800000,3931000.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.100000,    6.296886,    6.296886,    6.296886,    0.000000,    0.000000,    0.000000,  -85.207257,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.163701,    0.001300,    0.001300,    0.000000
2008-01-02 24:00:00,62312163.136626,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-5771.870094,    0.000000,    0.000000,    0.000000,   46.798532,3930544.909345,    0.000000,    0.000000,    0.000000,    0.000000,    0.099997,    6.281525,    6.281525,    6.281525,   14.583626,  -42.253281,  -13.732829,   30.116591,    0.000000,    0.000000,    0.306034,    6.700949,    2.071684,    0.000000,    0.163699,    0.001300,    0.001300,    0.000000
2008-01-03 24:00:00,62301588.008138,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-10754.897963,    0.000000,    0.000000,    0.000000,   46.795795,3929696.786484,    0.000000,    0.000000,    0.000000,    0.000000,    0.099988,    5.987044,    5.987044,    5.987044,   30.152490,  -78.759285,  -55.114435, -121.449457,    0.000000,    0.000000,    0.078127,    1.908328,    1.105559,    0.000000,    0.163695,    0.001300,    0.001300,    0.000000
2008-01-04 24:00:00,62296304.442064,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-5372.502043,    0.000000,    0.000000,    0.000000,   46.794428,3929273.045705,    0.000000,    0.000000,    0.000000,    0.000000,    0.099973,    5.831441,    5.831441,    5.831441,   16.463085,  -39.358278,  -43.890402,  -52.163986,    0.000000,    0.000000,    0.196636,    4.507958,    1.699203,    0.000000,    0.163694,    0.001300,    0.001300,    0.000000
2008-01-05 24:00:00,62289354.486966,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-7066.059721,    0.000000,    0.000000,    0.000000,   46.792629,3928715.660912,    0.000000,    0.000000,    0.000000,    0.000000,    0.099953,    5.692832,    5.692832,    5.692832,   23.157285,  -51.778030,  -19.565352,  -57.480003,    0.000000,    0.000000,    0.144069,    3.392519,    1.474065,    0.000000,    0.163691,    0.001300,    0.001300,    0.000000
2008-01-06 24:00:00,62285804.264631,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-3609.139527,    0.000000,    0.000000,    0.000000,   46.791711,3928430.933901,    0.000000,    0.000000,    0.000000,    0.000000,    0.099926,    5.594889,    5.594889,    5.594889,   18.464820,  -26.452444,  -26.628321,  -40.161945,    0.000000,    0.000000,    0.178779,    4.134509,    1.627299,    0.000000,    0.163690,    0.001300,    0.001300,    0.000000
2008-01-07 24:00:00,62281578.998551,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-4295.045502,    0.000000,    0.000000,    0.000000,   46.790617,3928092.068537,    0.000000,    0.000000,    0.000000,    0.000000,    0.099893,    5.530590,    5.530590,    5.530590,   18.658549,  -31.484344,  -21.638400,  -14.306915,    0.000000,    0.000000,    0.094065,    2.277517,    1.207776,    0.000000,    0.163689,    0.001300,    0.001300,    0.000000
2008-01-08 24:00:00,62275631.515018,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-6045.094037,    0.000000,    0.000000,    0.000000,   46.789078,3927615.081732,    0.000000,    0.000000,    0.000000,    0.000000,    0.099855,    5.476067,    5.476067,    5.476067,   15.591405,  -44.320656,  -22.054498,    9.330494,    0.000000,    0.000000,    0.401542,    8.515409,    2.335383,    0.000000,    0.163687,    0.001300,    0.001300,    0.000000
2008-01-09 24:00:00,62270633.792956,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-5079.168859,    0.000000,    0.000000,    0.000000,   46.787785,3927214.265577,    0.000000,    0.000000,    0.000000,    0.000000,    0.099811,    5.419615,    5.399686,    5.419615,   22.012264,  -37.245258,  -31.510943,   -7.678792,    0.000000,    0.000000,    0.062241,    1.532955,    0.990878,  198.232957,    0.449046,    0.001300,    0.001300,    0.000000
2008-01-10 24:00:00,62269016.743188,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-1643.288117,    0.000000,    0.000000,    0.000000,   46.787367,3927084.578559,    0.000000,    0.000000,    0.000000,    0.000000,    0.099760,    5.351665,    5.351665,    5.351665,   20.643531,  -12.051040,   -8.125738,  -40.209175,    0.000000,    0.000000,    0.062240,    1.532945,    0.990875,    0.000000,    0.163684,    0.001300,    0.001300,    0.000000
2008-01-11 24:00:00,62266656.438511,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-2398.506006,    0.000000,    0.000000,    0.000000,   46.786756,3926895.282669,    0.000000,    0.000000,    0.000000,    0.000000,    0.099704,    5.194591,    5.194591,    5.194591,   35.024694,  -17.592452,  -16.048859, -121.246233,    0.000000,    0.000000,    0.144055,    3.392168,    1.473989,    0.000000,    0.163684,    0.001300,    0.001300,    0.000000
2008-01-12 24:00:00,62264986.130461,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-1697.271881,    0.000000,    0.000000,    0.000000,   46.786324,3926761.324349,    0.000000,    0.000000,    0.000000,    0.000000,    0.099643,    5.173816,    5.173816,    5.173816,   15.312811,  -12.450925,   -2.626432,  -15.856212,    0.000000,    0.000000,    0.287477,    6.338455,    2.014870,    0.000000,    0.163683,    0.001300,    0.001300,    0.000000
2008-01-13 24:00:00,62264652.204461,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -339.309510,    0.000000,    0.000000,    0.000000,   46.786237,3926734.543561,    0.000000,    0.000000,    0.000000,    0.000000,    0.099575,    5.258000,    5.258000,    5.258000,   18.167315,   -2.488867,   14.993681,   34.521217,    0.000000,    0.000000,    0.178763,    4.134102,    1.627219,    0.000000,    0.163683,    0.001300,    0.001300,    0.000000
2008-01-14 24:00:00,62263942.163851,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -721.480174,    0.000000,    0.000000,    0.000000,   46.786054,3926677.598469,    0.000000,    0.000000,    0.000000,    0.000000,    0.099501,    5.295308,    5.292735,    5.295308,   18.553944,   -5.292019,    3.509318,   11.830867,    0.000000,    0.000000,    0.094059,    2.277343,    1.207730,  418.617480,    0.559681,    0.001300,    0.001300,    0.000000
2008-01-15 24:00:00,62263205.575978,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, -748.443799,    0.000000,    0.000000,    0.000000,   46.785863,3926618.524291,    0.000000,    0.000000,    0.000000,    0.000000,    0.099422,    5.328005,    5.292735,    5.328005,   17.937388,   -5.489624,   -4.947540,   13.857284,    0.000000,    0.000000,    0.062239,    1.532909,    0.990863, 1124.167999,    0.439697,    0.001300,    0.001300,    0.000000
2008-01-16 24:00:00,62261985.732293,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-1239.453569,    0.000000,    0.000000,    0.000000,   46.785547,3926520.693109,    0.000000,    0.000000,    0.000000,    0.000000,    0.099337,    5.323077,    5.292735,    5.323077,   27.389141,   -9.091277,   -8.286364,   -9.356503,    0.000000,    0.000000,    0.127219,    3.023459,    1.391578,  547.507715,    0.462567,    0.001300,    0.001300,    0.000000
2008-01-17 24:00:00,62260488.460440,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-1521.299794,    0.000000,    0.000000,    0.000000,   46.785160,3926400.612253,    0.000000,    0.000000,    0.000000,    0.000000,    0.099246,    5.354762,    5.354762,    5.354762,   21.560958,  -11.158900,    5.640884,    9.503874,    0.000000,    0.000000,    0.214299,    4.872293,    1.766535,    0.000000,    0.163682,    0.001300,    0.001300,    0.000000
